"Date (UTC)","Timestamp (UTC)","Price"
"12-03-2024 16:00","1733241604","0.5"
"12-03-2024 17:00","1733245203","0.405"
"12-03-2024 18:00","1733248804","0.375"
"12-03-2024 19:00","1733252403","0.445"
"12-03-2024 20:00","1733256004","0.625"
"12-03-2024 21:00","1733259603","0.65"
"12-03-2024 22:00","1733263203","0.625"
"12-03-2024 23:00","1733266803","0.635"
"12-04-2024 00:00","1733270403","0.725"
"12-04-2024 01:00","1733274003","0.735"
"12-04-2024 02:00","1733277603","0.6"
"12-04-2024 03:00","1733281203","0.475"
"12-04-2024 04:00","1733284803","0.41"
"12-04-2024 05:00","1733288403","0.36"
"12-04-2024 06:00","1733292003","0.485"
"12-04-2024 07:00","1733295603","0.46"
"12-04-2024 08:00","1733299203","0.435"
"12-04-2024 09:00","1733302803","0.465"
"12-04-2024 10:00","1733306403","0.475"
"12-04-2024 11:00","1733310003","0.485"
"12-04-2024 12:00","1733313603","0.545"
"12-04-2024 13:00","1733317203","0.51"
"12-04-2024 14:00","1733320803","0.495"
"12-04-2024 15:00","1733324403","0.395"
"12-04-2024 16:00","1733328003","0.37"
"12-04-2024 17:00","1733331603","0.285"
"12-04-2024 18:00","1733335203","0.255"
"12-04-2024 19:00","1733338803","0.315"
"12-04-2024 20:00","1733342403","0.36"
"12-04-2024 21:00","1733346003","0.365"
"12-04-2024 22:00","1733349603","0.36"
"12-04-2024 23:00","1733353203","0.365"
"12-05-2024 00:00","1733356803","0.325"
"12-05-2024 01:00","1733360403","0.335"
"12-05-2024 02:00","1733364003","0.285"
"12-05-2024 03:00","1733367603","0.24"
"12-05-2024 04:00","1733371203","0.275"
"12-05-2024 05:00","1733374803","0.255"
"12-05-2024 06:00","1733378403","0.28"
"12-05-2024 07:00","1733382003","0.18"
"12-05-2024 08:00","1733385603","0.215"
"12-05-2024 09:00","1733389203","0.23"
"12-05-2024 10:00","1733392803","0.235"
"12-05-2024 11:00","1733396403","0.245"
"12-05-2024 12:00","1733400003","0.235"
"12-05-2024 13:00","1733403603","0.205"
"12-05-2024 14:00","1733407203","0.275"
"12-05-2024 15:00","1733410803","0.245"
"12-05-2024 16:00","1733414403","0.225"
"12-05-2024 17:00","1733418003","0.23"
"12-05-2024 18:00","1733421603","0.235"
"12-05-2024 19:00","1733425203","0.235"
"12-05-2024 20:00","1733428803","0.225"
"12-05-2024 21:00","1733432403","0.22"
"12-05-2024 22:00","1733436003","0.215"
"12-05-2024 23:00","1733439603","0.195"
"12-06-2024 00:00","1733443203","0.185"
"12-06-2024 01:00","1733446803","0.225"
"12-06-2024 02:00","1733450403","0.285"
"12-06-2024 03:00","1733454003","0.305"
"12-06-2024 04:00","1733457603","0.335"
"12-06-2024 05:00","1733461203","0.375"
"12-06-2024 06:00","1733464803","0.37"
"12-06-2024 07:00","1733468403","0.315"
"12-06-2024 08:00","1733472003","0.335"
"12-06-2024 09:00","1733475603","0.325"
"12-06-2024 10:00","1733479203","0.32"
"12-06-2024 11:00","1733482803","0.315"
"12-06-2024 12:00","1733486403","0.36"
"12-06-2024 13:00","1733490003","0.345"
"12-06-2024 14:00","1733493603","0.345"
"12-06-2024 15:00","1733497203","0.345"
"12-06-2024 16:00","1733500803","0.31"
"12-06-2024 17:00","1733504403","0.31"
"12-06-2024 18:00","1733508003","0.295"
"12-06-2024 19:00","1733511603","0.32"
"12-06-2024 20:00","1733515203","0.31"
"12-06-2024 21:00","1733518803","0.335"
"12-06-2024 22:00","1733522403","0.335"
"12-06-2024 23:00","1733526003","0.315"
"12-07-2024 00:00","1733529603","0.32"
"12-07-2024 01:00","1733533203","0.345"
"12-07-2024 02:00","1733536803","0.235"
"12-07-2024 03:00","1733540403","0.275"
"12-07-2024 04:00","1733544003","0.255"
"12-07-2024 05:00","1733547603","0.235"
"12-07-2024 06:00","1733551203","0.215"
"12-07-2024 07:00","1733554803","0.225"
"12-07-2024 08:00","1733558403","0.215"
"12-07-2024 09:00","1733562003","0.14"
"12-07-2024 10:00","1733565603","0.235"
"12-07-2024 11:00","1733569203","0.245"
"12-07-2024 12:00","1733572802","0.21"
"12-07-2024 13:00","1733576403","0.145"
"12-07-2024 14:00","1733580003","0.175"
"12-07-2024 15:00","1733583603","0.185"
"12-07-2024 16:00","1733587203","0.21"
"12-07-2024 17:00","1733590802","0.185"
"12-07-2024 18:00","1733594403","0.205"
"12-07-2024 19:00","1733598003","0.215"
"12-07-2024 20:00","1733601603","0.225"
"12-07-2024 21:00","1733605203","0.245"
"12-07-2024 22:00","1733608803","0.225"
"12-07-2024 23:00","1733612403","0.235"
"12-08-2024 00:00","1733616003","0.21"
"12-08-2024 01:00","1733619603","0.235"
"12-08-2024 02:00","1733623203","0.225"
"12-08-2024 03:00","1733626803","0.225"
"12-08-2024 04:00","1733630403","0.215"
"12-08-2024 05:00","1733634003","0.245"
"12-08-2024 06:00","1733637603","0.25"
"12-08-2024 07:00","1733641203","0.235"
"12-08-2024 08:00","1733644803","0.215"
"12-08-2024 09:00","1733648403","0.225"
"12-08-2024 10:00","1733652003","0.26"
"12-08-2024 11:00","1733655603","0.22"
"12-08-2024 12:00","1733659203","0.235"
"12-08-2024 13:00","1733662803","0.235"
"12-08-2024 14:00","1733666404","0.23"
"12-08-2024 15:00","1733670003","0.215"
"12-08-2024 16:00","1733673603","0.215"
"12-08-2024 17:00","1733677202","0.225"
"12-08-2024 18:00","1733680803","0.225"
"12-08-2024 19:00","1733684403","0.225"
"12-08-2024 20:00","1733688003","0.24"
"12-08-2024 21:00","1733691603","0.245"
"12-08-2024 22:00","1733695203","0.245"
"12-08-2024 23:00","1733698803","0.245"
"12-09-2024 00:00","1733702402","0.245"
"12-09-2024 01:00","1733706003","0.24"
"12-09-2024 02:00","1733709603","0.235"
"12-09-2024 03:00","1733713203","0.225"
"12-09-2024 04:00","1733716802","0.25"
"12-09-2024 05:00","1733720402","0.245"
"12-09-2024 06:00","1733724003","0.235"
"12-09-2024 07:00","1733727603","0.24"
"12-09-2024 08:00","1733731203","0.245"
"12-09-2024 09:00","1733734802","0.265"
"12-09-2024 10:00","1733738403","0.255"
"12-09-2024 11:00","1733742003","0.245"
"12-09-2024 12:00","1733745603","0.245"
"12-09-2024 13:00","1733749203","0.245"
"12-09-2024 14:00","1733752803","0.24"
"12-09-2024 15:00","1733756402","0.245"
"12-09-2024 16:00","1733760003","0.24"
"12-09-2024 17:00","1733763603","0.245"
"12-09-2024 18:00","1733767203","0.26"
"12-09-2024 19:00","1733770803","0.255"
"12-09-2024 20:00","1733774402","0.255"
"12-09-2024 21:00","1733778003","0.255"
"12-09-2024 22:00","1733781603","0.255"
"12-09-2024 23:00","1733785203","0.265"
"12-10-2024 00:00","1733788803","0.265"
"12-10-2024 01:00","1733792403","0.24"
"12-10-2024 02:00","1733796003","0.25"
"12-10-2024 03:00","1733799603","0.195"
"12-10-2024 04:00","1733803203","0.215"
"12-10-2024 05:00","1733806803","0.23"
"12-10-2024 06:00","1733810403","0.205"
"12-10-2024 07:00","1733814003","0.26"
"12-10-2024 08:00","1733817603","0.24"
"12-10-2024 09:00","1733821203","0.24"
"12-10-2024 10:00","1733824803","0.235"
"12-10-2024 11:00","1733828403","0.225"
"12-10-2024 12:00","1733832003","0.22"
"12-10-2024 13:00","1733835603","0.21"
"12-10-2024 14:00","1733839203","0.205"
"12-10-2024 15:00","1733842803","0.195"
"12-10-2024 16:00","1733846403","0.195"
"12-10-2024 17:00","1733850003","0.195"
"12-10-2024 18:00","1733853603","0.22"
"12-10-2024 19:00","1733857203","0.215"
"12-10-2024 20:00","1733860803","0.2"
"12-10-2024 21:00","1733864403","0.2"
"12-10-2024 22:00","1733868003","0.195"
"12-10-2024 23:00","1733871603","0.195"
"12-11-2024 00:00","1733875203","0.195"
"12-11-2024 01:00","1733878803","0.19"
"12-11-2024 02:00","1733882403","0.185"
"12-11-2024 03:00","1733886003","0.155"
"12-11-2024 04:00","1733889603","0.125"
"12-11-2024 05:00","1733893202","0.15"
"12-11-2024 06:00","1733896803","0.14"
"12-11-2024 07:00","1733900403","0.15"
"12-11-2024 08:00","1733904003","0.15"
"12-11-2024 09:00","1733907603","0.135"
"12-11-2024 10:00","1733911203","0.135"
"12-11-2024 11:00","1733914803","0.13"
"12-11-2024 12:00","1733918403","0.135"
"12-11-2024 13:00","1733922003","0.135"
"12-11-2024 14:00","1733925603","0.14"
"12-11-2024 15:00","1733929203","0.15"
"12-11-2024 16:00","1733932803","0.155"
"12-11-2024 17:00","1733936402","0.145"
"12-11-2024 18:00","1733940003","0.135"
"12-11-2024 19:00","1733943603","0.135"
"12-11-2024 20:00","1733947203","0.145"
"12-11-2024 21:00","1733950803","0.135"
"12-11-2024 22:00","1733954403","0.15"
"12-11-2024 23:00","1733958003","0.185"
"12-12-2024 00:00","1733961603","0.14"
"12-12-2024 01:00","1733965203","0.13"
"12-12-2024 02:00","1733968803","0.125"
"12-12-2024 03:00","1733972403","0.105"
"12-12-2024 04:00","1733976003","0.105"
"12-12-2024 05:00","1733979603","0.105"
"12-12-2024 06:00","1733983203","0.105"
"12-12-2024 07:00","1733986803","0.105"
"12-12-2024 08:00","1733990403","0.115"
"12-12-2024 09:00","1733994003","0.115"
"12-12-2024 10:00","1733997603","0.11"
"12-12-2024 11:00","1734001203","0.115"
"12-12-2024 12:00","1734004803","0.115"
"12-12-2024 13:00","1734008403","0.115"
"12-12-2024 14:00","1734012003","0.13"
"12-12-2024 15:00","1734015603","0.115"
"12-12-2024 16:00","1734019203","0.115"
"12-12-2024 17:00","1734022804","0.125"
"12-12-2024 18:00","1734026403","0.13"
"12-12-2024 19:00","1734030004","0.125"
"12-12-2024 20:00","1734033602","0.115"
"12-12-2024 21:00","1734037203","0.125"
"12-12-2024 22:00","1734040803","0.125"
"12-12-2024 23:00","1734044403","0.115"
"12-13-2024 00:00","1734048003","0.105"
"12-13-2024 01:00","1734051603","0.105"
"12-13-2024 02:00","1734055204","0.095"
"12-13-2024 03:00","1734058803","0.095"
"12-13-2024 04:00","1734062403","0.105"
"12-13-2024 05:00","1734066003","0.115"
"12-13-2024 06:00","1734069603","0.09"
"12-13-2024 07:00","1734073203","0.085"
"12-13-2024 08:00","1734076803","0.085"
"12-13-2024 09:00","1734080403","0.085"
"12-13-2024 10:00","1734084003","0.095"
"12-13-2024 11:00","1734087603","0.115"
"12-13-2024 12:00","1734091203","0.085"
"12-13-2024 13:00","1734094802","0.09"
"12-13-2024 13:52","1734097923","0.105"
